match_id,stage,group,date,home_id,away_id,home_name,away_name,actual_home_goals,actual_away_goals,status,outcome_90,outcome_120,advancer_id,model_p_home_90,model_p_draw_90,model_p_away_90,model_p_home_120,model_p_draw_120,model_p_away_120,model_p_home_advance,model_p_away_advance,model_xg_home,model_xg_away,model_modal_home,model_modal_away,model_modal_p,model_pred_outcome,bet365_home_odds,bet365_draw_odds,bet365_away_odds,bet365_p_home,bet365_p_draw,bet365_p_away,pinnacle_home_odds,pinnacle_draw_odds,pinnacle_away_odds,pinnacle_p_home,pinnacle_p_draw,pinnacle_p_away,model_1x2_correct,model_exact_correct,model_advance_correct,model_log_loss,model_brier
G57,group,E,2026-06-25,ecuador,germany,Ecuador,Germany,2,1,FT,home,home,,0.1462,0.2626,0.5912,,,,,,0.65,1.58,0,1,,away,5.2,4.9,1.59,0.1876,0.199,0.6134,4.35,4.3,1.775,0.2241,0.2267,0.5492,False,False,,1.9224,1.1473
G58,group,E,2026-06-25,curacao,ivory_coast,Curacao,Ivory Coast,0,2,FT,away,away,,0.097,0.2033,0.6997,,,,,,0.61,2.01,0,2,,away,16.0,8.4,1.18,0.0607,0.1157,0.8236,17.15,7.78,1.147,0.0551,0.1214,0.8235,True,True,,0.3571,0.1409
G59,group,F,2026-06-25,japan,sweden,Japan,Sweden,1,1,FT,draw,draw,,0.6854,0.193,0.1216,,,,,,2.24,0.84,2,0,,home,2.07,3.32,4.1,0.4698,0.2929,0.2372,2.41,3.44,3.17,0.4064,0.2847,0.3089,False,False,,1.645,1.1358
G60,group,F,2026-06-25,tunisia,netherlands,Tunisia,Netherlands,1,3,FT,away,away,,0.0649,0.1609,0.7742,,,,,,0.54,2.34,0,2,,away,25.0,10.5,1.12,0.0389,0.0926,0.8685,21.0,9.0,1.153,0.0464,0.1083,0.8453,True,False,,0.256,0.0811
G61,group,G,2026-06-26,egypt,iran,Egypt,Iran,1,1,FT,draw,draw,,0.3424,0.3193,0.3383,,,,,,1.03,1.02,1,1,,home,2.78,2.69,3.38,0.3501,0.3619,0.288,2.75,2.73,3.39,0.3548,0.3574,0.2878,False,True,,1.1416,0.695
G62,group,G,2026-06-26,new_zealand,belgium,New Zealand,Belgium,1,5,FT,away,away,,0.0534,0.1305,0.8161,,,,,,0.59,2.71,0,2,,away,15.0,7.7,1.2,0.0647,0.1261,0.8092,14.5,8.05,1.192,0.0668,0.1204,0.8128,True,False,,0.2032,0.0537
G63,group,H,2026-06-26,cape_verde,saudi_arabia,Cape Verde,Saudi Arabia,0,0,FT,draw,draw,,0.3386,0.3323,0.3291,,,,,,0.97,0.95,0,0,,home,2.65,3.32,2.86,0.367,0.2929,0.3401,2.57,3.46,2.72,0.3721,0.2764,0.3516,False,True,,1.1016,0.6687
G64,group,H,2026-06-26,uruguay,spain,Uruguay,Spain,0,1,FT,away,away,,0.0942,0.225,0.6808,,,,,,0.51,1.79,0,1,,away,6.4,3.62,1.7,0.1531,0.2706,0.5763,5.47,3.53,1.714,0.1742,0.2699,0.5559,True,True,,0.3845,0.1614
G65,group,I,2026-06-26,norway,france,Norway,France,1,4,FT,away,away,,0.1713,0.2449,0.5839,,,,,,0.85,1.76,0,1,,away,7.2,5.55,1.42,0.1357,0.1761,0.6882,8.23,5.79,1.321,0.1156,0.1643,0.7201,True,False,,0.5381,0.2625
G66,group,I,2026-06-26,senegal,iraq,Senegal,Iraq,5,0,FT,home,home,,0.641,0.241,0.118,,,,,,1.71,0.59,1,0,,home,1.22,7.3,14.0,0.7973,0.1332,0.0695,1.19,7.09,13.59,0.7966,0.1337,0.0697,True,False,,0.4447,0.2009
G67,group,J,2026-06-27,algeria,austria,Algeria,Austria,3,3,FT,draw,draw,,0.283,0.2863,0.4307,,,,,,1.05,1.36,1,1,,away,3.7,2.05,3.8,0.2647,0.4777,0.2577,3.52,2.04,3.63,0.2706,0.467,0.2624,False,False,,1.2507,0.7749
G68,group,J,2026-06-27,jordan,argentina,Jordan,Argentina,1,3,FT,away,away,,0.019,0.0819,0.8991,,,,,,0.33,3.05,0,3,,away,22.0,9.75,1.14,0.0443,0.1,0.8556,18.7,9.03,1.166,0.0523,0.1084,0.8393,True,False,,0.1063,0.0172
G69,group,K,2026-06-27,colombia,portugal,Colombia,Portugal,0,0,FT,draw,draw,,0.2532,0.2838,0.4631,,,,,,0.98,1.41,1,1,,away,3.58,3.88,2.05,0.2726,0.2515,0.476,4.17,4.14,1.847,0.2345,0.2362,0.5294,False,False,,1.2596,0.7915
G70,group,K,2026-06-27,dr_congo,uzbekistan,DR Congo,Uzbekistan,3,1,FT,home,home,,0.381,0.347,0.2719,,,,,,0.97,0.78,0,0,,home,1.69,3.76,5.85,0.5753,0.2586,0.1662,1.645,3.89,5.43,0.5794,0.245,0.1755,True,False,,0.9649,0.5775
G71,group,L,2026-06-27,panama,england,Panama,England,0,2,FT,away,away,,0.0447,0.1418,0.8135,,,,,,0.43,2.42,0,2,,away,19.5,9.0,1.16,0.0501,0.1085,0.8415,17.94,8.43,1.148,0.0533,0.1135,0.8332,True,True,,0.2064,0.0569
G72,group,L,2026-06-27,croatia,ghana,Croatia,Ghana,2,1,FT,home,home,,0.6427,0.2354,0.122,,,,,,1.77,0.63,1,0,,home,1.85,3.18,5.9,0.5276,0.3069,0.1654,1.813,3.21,5.6,0.5295,0.2991,0.1714,True,False,,0.4421,0.1979
M73,R32,,2026-06-28,south_africa,canada,South Africa,Canada,0,1,FT,away,away,canada,0.1006,0.2049,0.6945,0.1219,0.0972,0.7809,0.1659,0.8341,0.63,2.01,0,1,0.1587,away,5.75,3.6,1.666,0.1653,0.2641,0.5706,5.0,3.45,1.877,0.1956,0.2834,0.521,True,True,True,0.2473,0.0723
M74,R32,,2026-06-29,germany,paraguay,Germany,Paraguay,1,1,PEN,draw,draw,paraguay,0.7446,0.1774,0.078,0.826,0.0799,0.0941,0.8713,0.1287,2.23,0.59,2,0,0.1558,home,1.37,5.2,9.6,0.7112,0.1874,0.1015,1.344,5.2,11.0,0.7243,0.1872,0.0885,False,False,False,2.527,1.5377
M75,R32,,2026-06-29,netherlands,morocco,Netherlands,Morocco,1,1,PEN,draw,draw,morocco,0.4106,0.3183,0.2711,0.4901,0.1808,0.3292,0.5829,0.4171,1.15,0.88,1,0,0.1709,home,2.41,3.22,3.38,0.4063,0.3041,0.2897,2.49,3.13,3.34,0.3935,0.3131,0.2934,False,False,False,1.7104,1.0197
M76,R32,,2026-06-29,brazil,japan,Brazil,Japan,2,1,FT,home,home,brazil,0.4868,0.2781,0.2351,0.5713,0.144,0.2846,0.6465,0.3535,1.47,0.95,1,0,0.1446,home,1.77,3.7,5.15,0.5488,0.2625,0.1886,1.793,3.59,5.33,0.5447,0.2721,0.1832,True,False,True,0.5598,0.2855
M77,R32,,2026-06-30,france,sweden,France,Sweden,3,0,FT,home,home,france,0.842,0.1118,0.0461,0.9045,0.0409,0.0546,0.9281,0.0719,2.99,0.62,2,0,0.1256,home,1.25,6.0,11.0,0.7564,0.1576,0.086,1.307,6.0,11.0,0.7481,0.163,0.0889,True,False,True,0.1004,0.0138
M78,R32,,2026-06-30,ivory_coast,norway,Ivory Coast,Norway,1,2,FT,away,away,norway,0.214,0.2724,0.5136,0.2594,0.1405,0.6,0.326,0.674,0.9,1.53,0,1,0.1495,away,3.72,3.42,2.16,0.2625,0.2855,0.452,3.7,3.29,2.12,0.2584,0.2906,0.451,True,False,True,0.5108,0.247
M79,R32,,2026-06-30,mexico,ecuador,Mexico,Ecuador,2,0,FT,home,home,mexico,0.4179,0.3317,0.2504,0.4993,0.1952,0.3054,0.598,0.402,1.09,0.78,1,0,0.1925,home,2.25,2.88,4.25,0.4328,0.3381,0.2291,2.38,2.81,4.07,0.4112,0.3483,0.2405,True,False,True,0.6945,0.3821
M80,R32,,2026-07-01,england,dr_congo,England,DR Congo,2,1,FT,home,home,england,0.779,0.1764,0.0446,0.8592,0.0868,0.054,0.9106,0.0894,2.02,0.32,1,0,0.222,home,1.3,5.05,16.0,0.747,0.1923,0.0607,1.315,4.99,11.17,0.724,0.1908,0.0852,True,False,True,0.1518,0.0303
M81,R32,,2026-07-01,united_states,bosnia_and_herzegovina,United States,Bosnia and Herzegovina,2,0,FT,home,home,united_states,0.7686,0.1529,0.0785,0.8443,0.0618,0.0939,0.8784,0.1216,2.59,0.73,2,0,0.1262,home,1.39,5.05,9.0,0.6995,0.1925,0.108,1.389,5.25,8.9,0.7039,0.1862,0.1099,True,True,True,0.1692,0.0369
M82,R32,,2026-07-01,belgium,senegal,Belgium,Senegal,3,2,AET,draw,home,belgium,0.4999,0.2711,0.229,0.5849,0.138,0.2771,0.6572,0.3428,1.54,0.96,1,0,0.1392,home,2.17,3.32,3.8,0.4495,0.2938,0.2567,1.98,3.45,4.37,0.4933,0.2831,0.2235,True,False,True,0.5363,0.2681
M83,R32,,2026-07-02,portugal,croatia,Portugal,Croatia,2,1,FT,home,home,portugal,0.6046,0.2401,0.1553,0.6935,0.1182,0.1883,0.7574,0.2426,1.79,0.79,1,0,0.1496,home,1.71,3.8,5.55,0.5688,0.256,0.1752,1.719,3.7,5.95,0.5703,0.265,0.1648,True,False,True,0.366,0.1434
